Site,Butterfly,Bumblebee,Hoverfly,Hummingbird,Other fly,Solitary bee,Wasp,Year,Drought
P97,1,0,31,85,0,9,0,1997,Non-drought
T97,0,57,29,0,0,5,0,1997,Non-drought
V97,0,4,12,0,0,0,0,1997,Non-drought
P98,0,2,15,66,14,5,0,1998,Non-drought
T98,0,0,0,0,2,3,0,1998,Non-drought
V98,0,0,7,49,7,2,0,1998,Non-drought
P01,0,0,40,14,1,2,0,2001,Non-drought
T01,0,5,1,44,2,0,7,2001,Non-drought
V01,0,2,93,79,11,2,3,2001,Non-drought
Avery Picnic Slope 12,0,0,4,0,1,0,1,2012,Drought
Avery Picnic Upper 12,0,0,19,40,9,2,1,2012,Drought
Back of Baldy Bend 12,0,0,10,0,1,1,1,2012,Drought
Baldy Lunch 12,1,0,0,18,19,0,1,2012,Drought
Bellview Bench 12,0,0,1,0,5,7,4,2012,Drought
Bellview View 12,0,0,2,196,4,0,5,2012,Drought
billy's Hilly Lower 12,1,0,0,0,0,2,0,2012,Drought
billy's Hilly Upper 12,0,0,0,0,0,0,3,2012,Drought
Emerald Lake Lower 12,0,0,2,0,3,0,1,2012,Drought
Emerald Lake Upper 12,1,1,4,0,0,0,8,2012,Drought
End of Gothic Hill 12,0,0,0,9,5,0,1,2012,Drought
Kebler Pass 12,1,1,25,0,0,0,0,2012,Drought
Long Lake Parking Lot 1 12,0,0,1,0,0,1,0,2012,Drought
Long Lake Parking Lot 2 12,1,0,0,1,1,4,0,2012,Drought
Long Lake Parking Lot 3 12,0,0,0,0,15,11,0,2012,Drought
Long Lake Parking Lot 4 12,0,0,0,0,1,0,0,2012,Drought
Max Field Meadow Lower 12,4,17,4,5,0,0,3,2012,Drought
Max Field Meadow Upper 12,1,0,1,117,1,0,1,2012,Drought
Ol' Dusty Road 12,0,0,3,0,4,0,5,2012,Drought
Rosy Point Lower 12,2,0,0,0,0,1,1,2012,Drought
Rosy Point Upper 12,1,1,0,0,0,0,5,2012,Drought
Schofield/Vera Falls 12,0,0,3,0,0,3,0,2012,Drought
Slate River 2 12,0,0,0,0,1,0,2,2012,Drought
Up on dat hill 12,0,0,0,51,4,0,3,2012,Drought
Vera Falls 12,0,0,20,0,0,0,0,2012,Drought
Vera Falls 2 12,0,0,6,0,0,1,0,2012,Drought
Avery Slope 18,0,0,0,2,0,0,0,2018,Drought
Bellview Bench Park 18,1,0,11,0,1,0,2,2018,Drought
Bellview View 18,0,3,0,14,0,0,0,2018,Drought
East River Overlook 18,0,0,0,0,0,0,1,2018,Drought
Rosy Point 18,0,0,1,0,3,0,7,2018,Drought
Vera Falls 18,0,0,0,3,0,0,0,2018,Drought
